title,url,zp,company
Python middle/senior,https://www.superjob.ru/vakansii/python-middle-38517804.html,160 000—200 000руб./месяц,SMMplanner
"Senior Developer (Python/JS) (парт-тайм, опцион)",https://www.superjob.ru/vakansii/senior-developer-38517245.html,от100 000 руб./месяц,Линском
"Программист-инженер С++, Python",https://www.superjob.ru/vakansii/programmist-inzhener-s-38845708.html,100 000руб./месяц,Сапфир Секьюрити Технолоджис
Senior Python Backend Developer / WEB-разработчик,https://www.superjob.ru/vakansii/senior-python-backend-developer-38203421.html,230 000руб./месяц,Perfect Systems
"Аналитик в отдел планирования (SQL, Python/R)",https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html,По договорённости,Мегаполис
"Full-stack Developer (Python, Javascript)",https://www.superjob.ru/vakansii/full-stack-developer-38070283.html,от150 000 руб./месяц,Умный Код
Python Backend Team Lead,https://www.superjob.ru/vakansii/python-backend-team-lead-38826745.html,от270 000 руб./месяц,Умные Технологические Решения
Backend Python разработчик,https://www.superjob.ru/vakansii/backend-python-razrabotchik-38611513.html,до250 000 руб./месяц,СКИФ-Проект
Backend Python Django Developer Data Science Computer Vision ML Engineer,https://www.superjob.ru/vakansii/backend-python-django-developer-data-science-computer-vision-ml-engineer-38816403.html,150 000—175 000руб./месяц,Longevity InTime
Full stack разработчик на Python,https://www.superjob.ru/vakansii/full-stack-razrabotchik-na-python-38716913.html,По договорённости,Технопарк «Сколково»
Python developer (Backend) в международную IT-компанию,https://www.superjob.ru/vakansii/python-developer-38909638.html,до230 000 руб./месяц,Оксана Швецова
Программист / Разработчик С++ / Python,https://www.superjob.ru/vakansii/programmist-38715459.html,По договорённости,Деловые Ресурсы
QA Engineer / Тестировщик (Python),https://www.superjob.ru/vakansii/qa-engineer-38807088.html,По договорённости,Межрегиональный ТранзитТелеком
Преподаватель по программированию на Python,https://www.superjob.ru/vakansii/prepodavatel-po-programmirovaniyu-na-python-38678658.html,По договорённости,МФТИ ГУ
Разработчик Python (middle/senior),https://www.superjob.ru/vakansii/razrabotchik-python-38769038.html,По договорённости,Сфера
Python backend-разработчик (проект компьютерное зрение),https://www.superjob.ru/vakansii/python-backend-razrabotchik-38543460.html,По договорённости,Кадровое агентство Инны Стасилович
Инженер по сопровождению ПО,https://www.superjob.ru/vakansii/inzhener-po-soprovozhdeniyu-po-38871842.html,По договорённости,Сбербанк России
Data Engineer,https://www.superjob.ru/vakansii/data-engineer-38716751.html,По договорённости,UniCredit Bank
Разработчик / Старший разработчик баз данных (Oracle/PostgreSQL),https://www.superjob.ru/vakansii/razrabotchik-38513324.html,По договорённости,АШАН Ритейл Россия
Специалист по информационным системам,https://www.superjob.ru/vakansii/specialist-po-informacionnym-sistemam-38868635.html,По договорённости,Научно-производственное предприятие «Специальные Вычислительные Комплексы»
Web-программист Python (Middle/Senior),https://hh.ru/vacancy/47228261?from=vacancy_search_list&query=python,от 170 000 руб.,Сионик
Python Developer,https://hh.ru/vacancy/47582619?from=vacancy_search_list&query=python,,Сбер. IT
Python Developer,https://hh.ru/vacancy/46061485?from=vacancy_search_list&query=python,,Scand
Backend-разработчик (Python),https://hh.ru/vacancy/47614267?from=vacancy_search_list&query=python,300 000 – 800 000 KZT,ТОО SOMNIUM
Data Engineer (аналитик данных),https://hh.ru/vacancy/47041501?from=vacancy_search_list&query=python,,Сбер для экспертов
Data Scientist,https://hh.ru/vacancy/47377173?from=vacancy_search_list&query=python,,Сбер для экспертов
Junior Python Developer,https://hh.ru/vacancy/47767075?from=vacancy_search_list&query=python,70 000 – 100 000 руб.,ООО Дорожный консалтинг
Python разработчик,https://hh.ru/vacancy/47682360?from=vacancy_search_list&query=python,до 290 000 руб.,Точка
Junior Data Engineer (Python),https://hh.ru/vacancy/47018981?from=vacancy_search_list&query=python,120 000 – 120 000 руб.,DataFork
Python разработчик,https://hh.ru/vacancy/47620506?from=vacancy_search_list&query=python,80 000 – 150 000 руб.,ООО Рилайнс
Junior Python developer (в Сочи),https://hh.ru/vacancy/47110879?from=vacancy_search_list&query=python,от 65 000 руб.,ООО Колл-Тулз
Junior python разработчик,https://hh.ru/vacancy/47726184?from=vacancy_search_list&query=python,,ООО Анлимитед Продакшен
Python Developer/Разработчик Python,https://hh.ru/vacancy/47769681?from=vacancy_search_list&query=python,90 000 – 100 000 руб.,АО КАДФЕМ Си-Ай-Эс
Python developer (Senior),https://hh.ru/vacancy/47262469?from=vacancy_search_list&query=python,300 000 – 400 000 руб.,ООО Вайт Код
Разработчик Python,https://hh.ru/vacancy/46717683?from=vacancy_search_list&query=python,от 180 000 руб.,ООО Доверенная среда
"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489?from=vacancy_search_list&query=python,60 000 – 150 000 руб.,ООО Фабрика Решений
Разработчик Python,https://hh.ru/vacancy/47750193?from=vacancy_search_list&query=python,80 000 – 120 000 руб.,ДАТА+
Разработчик Python,https://hh.ru/vacancy/47775861?from=vacancy_search_list&query=python,,Insilico Medicine
Discord Bot Developer (Python),https://hh.ru/vacancy/47708896?from=vacancy_search_list&query=python,1 000 – 1 500 EUR,Abelohost BV
Junior Python Developer,https://hh.ru/vacancy/47061045?from=vacancy_search_list&query=python,,ООО АТОН
Python middle/senior,https://www.superjob.ru/vakansii/python-middle-38517804.html,160 000—200 000руб./месяц,SMMplanner
"Senior Developer (Python/JS) (парт-тайм, опцион)",https://www.superjob.ru/vakansii/senior-developer-38517245.html,от100 000 руб./месяц,Линском
"Программист-инженер С++, Python",https://www.superjob.ru/vakansii/programmist-inzhener-s-38845708.html,100 000руб./месяц,Сапфир Секьюрити Технолоджис
Senior Python Backend Developer / WEB-разработчик,https://www.superjob.ru/vakansii/senior-python-backend-developer-38203421.html,230 000руб./месяц,Perfect Systems
"Аналитик в отдел планирования (SQL, Python/R)",https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html,По договорённости,Мегаполис
"Full-stack Developer (Python, Javascript)",https://www.superjob.ru/vakansii/full-stack-developer-38070283.html,от150 000 руб./месяц,Умный Код
Python Backend Team Lead,https://www.superjob.ru/vakansii/python-backend-team-lead-38826745.html,от270 000 руб./месяц,Умные Технологические Решения
Backend Python разработчик,https://www.superjob.ru/vakansii/backend-python-razrabotchik-38611513.html,до250 000 руб./месяц,СКИФ-Проект
Backend Python Django Developer Data Science Computer Vision ML Engineer,https://www.superjob.ru/vakansii/backend-python-django-developer-data-science-computer-vision-ml-engineer-38816403.html,150 000—175 000руб./месяц,Longevity InTime
Full stack разработчик на Python,https://www.superjob.ru/vakansii/full-stack-razrabotchik-na-python-38716913.html,По договорённости,Технопарк «Сколково»
Python developer (Backend) в международную IT-компанию,https://www.superjob.ru/vakansii/python-developer-38909638.html,до230 000 руб./месяц,Оксана Швецова
Программист / Разработчик С++ / Python,https://www.superjob.ru/vakansii/programmist-38715459.html,По договорённости,Деловые Ресурсы
QA Engineer / Тестировщик (Python),https://www.superjob.ru/vakansii/qa-engineer-38807088.html,По договорённости,Межрегиональный ТранзитТелеком
Преподаватель по программированию на Python,https://www.superjob.ru/vakansii/prepodavatel-po-programmirovaniyu-na-python-38678658.html,По договорённости,МФТИ ГУ
Разработчик Python (middle/senior),https://www.superjob.ru/vakansii/razrabotchik-python-38769038.html,По договорённости,Сфера
Python backend-разработчик (проект компьютерное зрение),https://www.superjob.ru/vakansii/python-backend-razrabotchik-38543460.html,По договорённости,Кадровое агентство Инны Стасилович
Инженер по сопровождению ПО,https://www.superjob.ru/vakansii/inzhener-po-soprovozhdeniyu-po-38871842.html,По договорённости,Сбербанк России
Data Engineer,https://www.superjob.ru/vakansii/data-engineer-38716751.html,По договорённости,UniCredit Bank
Разработчик / Старший разработчик баз данных (Oracle/PostgreSQL),https://www.superjob.ru/vakansii/razrabotchik-38513324.html,По договорённости,АШАН Ритейл Россия
Специалист по информационным системам,https://www.superjob.ru/vakansii/specialist-po-informacionnym-sistemam-38868635.html,По договорённости,Научно-производственное предприятие «Специальные Вычислительные Комплексы»
Python developer,https://hh.ru/vacancy/47322083?from=vacancy_search_list&query=python,до 400 000 руб.,Spice Agency
Программист Python (Самара),https://hh.ru/vacancy/47765920?from=vacancy_search_list&query=python,до 2 500 USD,ООО Телеком-ВИСТ
Python Machine Learning Data Science (трейдинг),https://hh.ru/vacancy/46823355?from=vacancy_search_list&query=python,80 000 – 120 000 руб.,Gromik group
Python developer,https://hh.ru/vacancy/47389379?from=vacancy_search_list&query=python,40 000 – 120 000 руб.,ООО КОМТЕК
Python-разработчик,https://hh.ru/vacancy/46412759?from=vacancy_search_list&query=python,от 130 000 руб.,FunBox
Python developer (Middle),https://hh.ru/vacancy/47250597?from=vacancy_search_list&query=python,250 000 – 300 000 руб.,ООО Вайт Код
Backend-разработчик (Python),https://hh.ru/vacancy/46666248?from=vacancy_search_list&query=python,70 000 – 140 000 руб.,АО Эшелон Технологии
Python разработчик,https://hh.ru/vacancy/47250451?from=vacancy_search_list&query=python,120 000 – 230 000 руб.,Coding Team
Python-разработчик,https://hh.ru/vacancy/46795569?from=vacancy_search_list&query=python,от 150 000 руб.,FunBox
Django/Python Developer,https://hh.ru/vacancy/47175346?from=vacancy_search_list&query=python,60 000 – 150 000 руб.,ООО Спецшеринг
Программист Python,https://hh.ru/vacancy/47101706?from=vacancy_search_list&query=python,100 000 – 200 000 руб.,ООО ЛайтБайт
"Технический лид автоматических тестов GUI (Python, Squish)",https://hh.ru/vacancy/45657026?from=vacancy_search_list&query=python,от 4 000 USD,NetworkOptix
Python developer,https://hh.ru/vacancy/45610689?from=vacancy_search_list&query=python,2 500 – 3 200 USD,B2Broker Москва
Программист-разработчик Python/PHP,https://hh.ru/vacancy/47113387?from=vacancy_search_list&query=python,180 000 – 260 000 руб.,ООО РУТЕНИУМ
Backend-разработчик Python,https://hh.ru/vacancy/45434650?from=vacancy_search_list&query=python,от 120 000 руб.,ФГБОУ ВО Национальный Исследовательский Университет МЭИ
Junior Developer / Data Engineer,https://hh.ru/vacancy/47622269?from=vacancy_search_list&query=python,,WhoIsBlogger (WIB)
Middle/Senior Python разработчик проектов Data Science,https://hh.ru/vacancy/47223800?from=vacancy_search_list&query=python,200 000 – 250 000 руб.,ООО Студия Данных
Middle Python developer (в Сочи),https://hh.ru/vacancy/42601947?from=vacancy_search_list&query=python,от 150 000 руб.,ООО Колл-Тулз
Python программист,https://hh.ru/vacancy/47335726?from=vacancy_search_list&query=python,от 100 000 руб.,ООО Авантренд
"Аналитик-разработчик (SQL, Python)",https://hh.ru/vacancy/47721644?from=vacancy_search_list&query=python,от 110 000 руб.,Деловые Линии
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-38671598.html,от80 000 руб./месяц,ЭКО центр
Ведущий инженер (Backend-разработчик),https://www.superjob.ru/vakansii/veduschij-inzhener-38959156.html,По договорённости,Сбербанк России
Разработчик BI,https://www.superjob.ru/vakansii/razrabotchik-bi-38541166.html,По договорённости,ТЭК-Торг
Педагог дополнительного образования (IT),https://www.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-31825314.html,По договорённости,"ГБОУДО ДТДМ ""Неоткрытые острова"""
DevOps‐инженер,https://www.superjob.ru/vakansii/devops-38764895.html,до250 000 руб./месяц,IT-компания
Head of DevOps,https://www.superjob.ru/vakansii/head-of-devops-34424249.html,По договорённости,SuperJob
Web-разработчик,https://www.superjob.ru/vakansii/web-razrabotchik-38763117.html,По договорённости,СП БИЗНЕС КАР
Аналитик,https://www.superjob.ru/vakansii/analitik-37623704.html,По договорённости,"ГУП ""Московский метрополитен"""
Full-stack разработчик,https://www.superjob.ru/vakansii/full-stack-razrabotchik-38527957.html,от180 000 руб./месяц,Авард
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-38663873.html,от150 000 руб./месяц,Кадровый Центр на Сокольнической Площади
DWH / ETL Developer (разработчик КХД),https://www.superjob.ru/vakansii/dwh-38716740.html,По договорённости,UniCredit Bank
Учитель информатики,https://www.superjob.ru/vakansii/uchitel-informatiki-27807302.html,По договорённости,ГОУ СОШ № 1270
Инженер по автоматизации тестирования,https://www.superjob.ru/vakansii/inzhener-po-avtomatizacii-testirovaniya-38517236.html,от100 000 руб./месяц,Линском
Эксперт по Cisco Security,https://www.superjob.ru/vakansii/ekspert-po-cisco-security-38968536.html,По договорённости,Сбербанк-Сервис
Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-36642235.html,По договорённости,БашМаг
Web Developer,https://www.superjob.ru/vakansii/web-developer-38654141.html,По договорённости,Гео Техно Сот
Специалист службы поддержки (с техническими знаниями),https://www.superjob.ru/vakansii/specialist-sluzhby-podderzhki-37984527.html,от15 000 руб./месяц,Яндекс
Учитель информатики,https://www.superjob.ru/vakansii/uchitel-informatiki-34123084.html,По договорённости,ГБОУ Школа №2086
Аналитик-психометрик,https://www.superjob.ru/vakansii/analitik-psihometrik-38571052.html,По договорённости,Правительство Москвы
Разработчик SQL,https://www.superjob.ru/vakansii/razrabotchik-sql-38284142.html,12 000руб./месяц,Первая Экспедиционная Компания
Ведущий Python разработчик,https://hh.ru/vacancy/47804423?from=vacancy_search_list&query=python,от 230 000 руб.,TWIN
"Разработчик (С++, Python)",https://hh.ru/vacancy/47794928?from=vacancy_search_list&query=python,от 150 000 руб.,Адалиск
Разработчик Python,https://hh.ru/vacancy/47679779?from=vacancy_search_list&query=python,,Ростелеком - Центры обработки данных
Python-разработчик,https://hh.ru/vacancy/46795568?from=vacancy_search_list&query=python,от 150 000 руб.,FunBox
Software Developer (Python),https://hh.ru/vacancy/47706726?from=vacancy_search_list&query=python,,TGT
Python developer,https://hh.ru/vacancy/47483352?from=vacancy_search_list&query=python,40 000 – 120 000 руб.,ООО КОМТЕК
Python-developer,https://hh.ru/vacancy/47194187?from=vacancy_search_list&query=python,1 000 – 2 000 USD,ИП Черкасов Константин Юрьевич
Python разработчик (Django),https://hh.ru/vacancy/47562337?from=vacancy_search_list&query=python,,HuskyJam
Python разработчик (удалённо),https://hh.ru/vacancy/47445706?from=vacancy_search_list&query=python,50 000 – 90 000 руб.,ООО Дримхэдс
Программист Python,https://hh.ru/vacancy/47735326?from=vacancy_search_list&query=python,,ООО Верме
Программист Python,https://hh.ru/vacancy/47766255?from=vacancy_search_list&query=python,85 000 – 120 000 руб.,ООО Центр инженерной физики МГУ
Middle Python developer (в Сочи),https://hh.ru/vacancy/45414767?from=vacancy_search_list&query=python,от 150 000 руб.,ООО Колл-Тулз
Разработчик Python,https://hh.ru/vacancy/47773948?from=vacancy_search_list&query=python,от 40 000 руб.,EventPlatform
Разработчик (Python),https://hh.ru/vacancy/45913407?from=vacancy_search_list&query=python,от 130 000 руб.,"Форум-групп, Холдинг"
Senior Data Scientist,https://hh.ru/vacancy/47728542?from=vacancy_search_list&query=python,220 000 – 320 000 руб.,ООО Виго Лаб
Python Software Engineer,https://hh.ru/vacancy/47693448?from=vacancy_search_list&query=python,от 3 400 EUR,Exness
Senior Python Developer,https://hh.ru/vacancy/47169833?from=vacancy_search_list&query=python,от 180 000 руб.,BrainGarden
Python-разработчик,https://hh.ru/vacancy/47797009?from=vacancy_search_list&query=python,150 000 – 300 000 руб.,ООО СКИФ-Проект
Python-разработчик систем сбора,https://hh.ru/vacancy/45971346?from=vacancy_search_list&query=python,80 000 – 150 000 руб.,ООО Селфсек
Стажер-разработчик бэкенда (Python),https://hh.ru/vacancy/47783881?from=vacancy_search_list&query=python,,Яндекс
Ruby разработчик,https://www.superjob.ru/vakansii/ruby-razrabotchik-38958020.html,По договорённости,Сбербанк России
Администратор баз данных / DBA,https://www.superjob.ru/vakansii/administrator-baz-dannyh-37321580.html,По договорённости,SuperJob
DevOps Engineer (Hadoop &amp; Data Science platform),https://www.superjob.ru/vakansii/devops-engineer-38716747.html,По договорённости,UniCredit Bank
Senior Machine Learning Engineer,https://www.superjob.ru/vakansii/senior-machine-learning-engineer-38517239.html,от100 000 руб./месяц,Линском
Разработчик C в отдел CPE,https://www.superjob.ru/vakansii/razrabotchik-c-v-otdel-cpe-38746749.html,По договорённости,НПК РоТеК
"Инженер-проектировщик ИТ и слаботочных сетей (ЛВС, СКС)",https://www.superjob.ru/vakansii/inzhener-proektirovschik-it-i-slabotochnyh-setej-36072193.html,от90 000 руб./месяц,Видау Системс
Инженер Linux,https://www.superjob.ru/vakansii/inzhener-linux-38745674.html,от120 000 руб./месяц,Саусбридж
ML Software Engineer,https://www.superjob.ru/vakansii/ml-software-engineer-38643478.html,170 000—190 000руб./месяц,МФТИ
Системный инженер (Devops/Linux),https://www.superjob.ru/vakansii/sistemnyj-inzhener-38094570.html,По договорённости,Biglion
DevOps Engineer,https://www.superjob.ru/vakansii/devops-engineer-38738633.html,По договорённости,Частный рекрутер Фаизова Аниса
Ведущий инженер,https://www.superjob.ru/vakansii/veduschij-inzhener-36502434.html,150 000—180 000руб./месяц,Мособлгаз
Преподаватель компьютерных курсов,https://www.superjob.ru/vakansii/prepodavatel-kompyuternyh-kursov-38837087.html,По договорённости,Частный рекрутер
Преподаватель компьютерных курсов (удаленно),https://www.superjob.ru/vakansii/prepodavatel-kompyuternyh-kursov-38837040.html,до80 000 руб./месяц,Онлайн школа английского языка
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-38731817.html,По договорённости,Гринпис (Greenpeace)
DevOps Engineer,https://www.superjob.ru/vakansii/devops-engineer-38731177.html,По договорённости,HR-Flight
Младший системный администратор,https://www.superjob.ru/vakansii/mladshij-sistemnyj-administrator-38941354.html,до90 000 руб./месяц,Coleman Services
Аналитик мобильных приложений / Игровой Аналитик (junior),https://www.superjob.ru/vakansii/analitik-mobilnyh-prilozhenij-38831957.html,По договорённости,GoKids
Программист C/C++,https://www.superjob.ru/vakansii/programmist-c-38628773.html,до150 000 руб./месяц,Московский завод тепловой автоматики
Ведущий разработчик серверной части,https://www.superjob.ru/vakansii/veduschij-razrabotchik-servernoj-chasti-38938080.html,от175 000 руб./месяц,Политехнический музей
Инженер-программист,https://www.superjob.ru/vakansii/inzhener-programmist-38493136.html,По договорённости,Технопарк «Сколково»
Python-разработчик,https://hh.ru/vacancy/47797010?from=vacancy_search_list&query=python,150 000 – 300 000 руб.,ООО СКИФ-Проект
Python Developer (Backend),https://hh.ru/vacancy/47285268?from=vacancy_search_list&query=python,,WARGAMING RED
Middle Data Scientist / Computer Vision Engineer,https://hh.ru/vacancy/47622728?from=vacancy_search_list&query=python,130 000 – 200 000 руб.,ZennoLab
Python Backend Developer,https://hh.ru/vacancy/47010524?from=vacancy_search_list&query=python,до 3 000 USD,Ohires
Python разработчик (дистанционно),https://hh.ru/vacancy/47720938?from=vacancy_search_list&query=python,70 000 – 140 000 руб.,Programming Store
Python developer,https://hh.ru/vacancy/44629324?from=vacancy_search_list&query=python,,CoMagic.dev
Бэкенд разработчик (Python/Django),https://hh.ru/vacancy/47771732?from=vacancy_search_list&query=python,1 500 – 2 500 USD,KeepPet
Python Backend Developer / WEB - разработчик,https://hh.ru/vacancy/46126295?from=vacancy_search_list&query=python,от 2 400 USD,ООО Перфект Системс
Python разработчик,https://hh.ru/vacancy/47368969?from=vacancy_search_list&query=python,,Сбер. IT
Python developer,https://hh.ru/vacancy/47336365?from=vacancy_search_list&query=python,,ООО Доксинбокс
Разработчик Python,https://hh.ru/vacancy/47769516?from=vacancy_search_list&query=python,,Cognitive Pilot
Python разработчик / Backend / Middle,https://hh.ru/vacancy/46266410?from=vacancy_search_list&query=python,120 000 – 160 000 руб.,ООО ЭсАйТи ЭдТех
Бэкенд разработчик (Python/Django),https://hh.ru/vacancy/47771725?from=vacancy_search_list&query=python,1 500 – 2 500 USD,KeepPet
Backend-разработчик / Python developer (умные дома),https://hh.ru/vacancy/47383047?from=vacancy_search_list&query=python,100 000 – 200 000 руб.,ООО Эктострой
Python developer,https://hh.ru/vacancy/47366036?from=vacancy_search_list&query=python,от 180 000 руб.,Blue underlined link
Python developer (Django),https://hh.ru/vacancy/46951665?from=vacancy_search_list&query=python,180 000 – 230 000 руб.,"Hi, Rockits!"
Python developer,https://hh.ru/vacancy/42864896?from=vacancy_search_list&query=python,80 000 – 130 000 руб.,ООО АйТи Мегастар
Бэкенд разработчик (Python/Django),https://hh.ru/vacancy/47771728?from=vacancy_search_list&query=python,1 500 – 2 500 USD,KeepPet
Программист Python (Junior),https://hh.ru/vacancy/45795655?from=vacancy_search_list&query=python,,ООО Открытые Бизнес Технологии
Программист Python (The Standoff),https://hh.ru/vacancy/47792877?from=vacancy_search_list&query=python,,Positive Technologies
Support-инженер,https://www.superjob.ru/vakansii/support-inzhener-38980270.html,По договорённости,Сбербанк России
Продуктовый аналитик,https://www.superjob.ru/vakansii/produktovyj-analitik-33473129.html,По договорённости,SuperJob
Тестировщик в отдел разработки,https://www.superjob.ru/vakansii/testirovschik-v-otdel-razrabotki-38746745.html,По договорённости,НПК РоТеК
Инженер-программист по интеграции систем,https://www.superjob.ru/vakansii/inzhener-programmist-po-integracii-sistem-38937760.html,от120 000 руб./месяц,Политехнический музей
"Системный администратор, IT-специалист",https://www.superjob.ru/vakansii/sistemnyj-administrator-38622795.html,100 000—115 000руб./месяц,"Группа компаний ""ГСИ"""
Учитель информатики,https://www.superjob.ru/vakansii/uchitel-informatiki-38725704.html,от80 000 руб./месяц,ГБОУ школа №1564
Менеджер по персоналу,https://www.superjob.ru/vakansii/menedzher-po-personalu-38927449.html,По договорённости,Технопарк «Сколково»
Golang (Go) Developer в международную IT-компанию,https://www.superjob.ru/vakansii/golang-38910091.html,до230 000 руб./месяц,Оксана Швецова
"Преподаватель it-курсов, программирования, информатики",https://www.superjob.ru/vakansii/prepodavatel-it-kursov-38910640.html,до140 000 руб./месяц,ЧУ ДО Московская школа программистов
Frontend программист,https://www.superjob.ru/vakansii/frontend-programmist-38815405.html,По договорённости,Гео Техно Сот
Инженер BMS/АСУЗ,https://www.superjob.ru/vakansii/inzhener-bms-33546498.html,По договорённости,СПЕЦВИДЕОПРОЕКТ
Техник-программист,https://www.superjob.ru/vakansii/tehnik-programmist-38807570.html,По договорённости,Колледж информатики и программирования
Инженер по направлению Unix,https://www.superjob.ru/vakansii/inzhener-po-napravleniyu-unix-38713080.html,По договорённости,"ООО ""НТЦ Поиск-ИТ"""
DevOps Engineer (Отдел сопровождения АБС),https://www.superjob.ru/vakansii/devops-engineer-38708886.html,По договорённости,РНКБ Банк (ПАО)
Backend / Full Stack разработчик (Senior),https://www.superjob.ru/vakansii/backend-38603473.html,до250 000 руб./месяц,Bankimonline
Web-программист,https://www.superjob.ru/vakansii/web-programmist-38790033.html,100 000—125 000руб./месяц,Вилена
Аналитик,https://www.superjob.ru/vakansii/analitik-38904495.html,95 000—115 000руб./месяц,Проектная дирекция Министерства строительства и жилищно-коммунального хозяйства Российской Федерации
Data Quality Engineer,https://www.superjob.ru/vakansii/data-quality-engineer-38602244.html,от100 000 руб./месяц,Линском
Учитель информатики / робототехники (основная школа и профильное образование),https://www.superjob.ru/vakansii/uchitel-informatiki-37521419.html,По договорённости,ГБОУ Школа № 1561
DevOps инженер,https://www.superjob.ru/vakansii/devops-inzhener-38807015.html,По договорённости,Межрегиональный ТранзитТелеком
Python разработчик,https://hh.ru/vacancy/47795079?from=vacancy_search_list&query=python,до 100 000 руб.,Dorio
Full stack разработчик на Python (Middle),https://hh.ru/vacancy/47755572?from=vacancy_search_list&query=python,170 000 – 190 000 руб.,ООО Цифровые Платежи
Python программист,https://hh.ru/vacancy/47500890?from=vacancy_search_list&query=python,от 100 000 руб.,Сеть магазинов цифровой и бытовой техники DNS
Ведущий Python разработчик,https://hh.ru/vacancy/47804428?from=vacancy_search_list&query=python,от 230 000 руб.,TWIN
Python developer(Middle/Senior),https://hh.ru/vacancy/47531614?from=vacancy_search_list&query=python,до 250 000 руб.,SATVASPACE
Python-разработчик,https://hh.ru/vacancy/46412762?from=vacancy_search_list&query=python,от 130 000 руб.,FunBox
Python Developer,https://hh.ru/vacancy/47788707?from=vacancy_search_list&query=python,,ООО РедСейл
Senior Python Backend Developer,https://hh.ru/vacancy/46673127?from=vacancy_search_list&query=python,от 4 000 USD,App in the Air
Ведущий Python разработчик,https://hh.ru/vacancy/47804424?from=vacancy_search_list&query=python,от 230 000 руб.,TWIN
Senior QA Automation Engineer (Python),https://hh.ru/vacancy/43394109?from=vacancy_search_list&query=python,от 300 000 руб.,Scalable Solutions
Python программист,https://hh.ru/vacancy/47414311?from=vacancy_search_list&query=python,,Thomas Teleservice TTS GmbH & Co KG
Python Developer,https://hh.ru/vacancy/47768520?from=vacancy_search_list&query=python,,"АТОЛ, группа компаний"
Программист Python,https://hh.ru/vacancy/46908580?from=vacancy_search_list&query=python,до 150 000 руб.,ООО Неовокс Технологии
Middle python-разработчик (aiohttp),https://hh.ru/vacancy/47490844?from=vacancy_search_list&query=python,до 200 000 руб.,KTS
Разработчик в группу качества объектных списков (С++/Python),https://hh.ru/vacancy/46730850?from=vacancy_search_list&query=python,,Яндекс
Python разработчик (в офис),https://hh.ru/vacancy/47776110?from=vacancy_search_list&query=python,от 140 000 руб.,ООО Интермобилити
Python Developer,https://hh.ru/vacancy/44655490?from=vacancy_search_list&query=python,,Perfect Panel
Python разработчик,https://hh.ru/vacancy/47015826?from=vacancy_search_list&query=python,от 100 000 руб.,ООО ВижнЛабс (VisionLabs)
Ведущий Python разработчик,https://hh.ru/vacancy/47804425?from=vacancy_search_list&query=python,от 230 000 руб.,TWIN
Бэкенд разработчик (Python/Django),https://hh.ru/vacancy/47771726?from=vacancy_search_list&query=python,1 500 – 2 500 USD,KeepPet
